site_id,issued_date,DATE,TIME,FLOW
SMRC2,2026-07-28,7/28/2026,12Z,55
SMRC2,2026-07-28,7/29/2026,12Z,54
SMRC2,2026-07-28,7/30/2026,12Z,57
SMRC2,2026-07-28,7/31/2026,12Z,56
SMRC2,2026-07-28,8/1/2026,12Z,52
SMRC2,2026-07-28,8/2/2026,12Z,51
SMRC2,2026-07-28,8/3/2026,12Z,50
SMRC2,2026-07-28,8/4/2026,12Z,49
SMRC2,2026-07-28,8/5/2026,12Z,48
SMRC2,2026-07-28,8/6/2026,12Z,47
