site_id,issued_date,DATE,TIME,FLOW
BAKC2,2026-08-16,8/16/2026,12Z,18
BAKC2,2026-08-16,8/17/2026,12Z,16
BAKC2,2026-08-16,8/18/2026,12Z,15
BAKC2,2026-08-16,8/19/2026,12Z,15
BAKC2,2026-08-16,8/20/2026,12Z,15
BAKC2,2026-08-16,8/21/2026,12Z,15
BAKC2,2026-08-16,8/22/2026,12Z,15
BAKC2,2026-08-16,8/23/2026,12Z,15
BAKC2,2026-08-16,8/24/2026,12Z,15
BAKC2,2026-08-16,8/25/2026,12Z,15
