u10,v10,t2m,sdswrf,init_date,horizon,member
2.937603712081909,0.9371093511581421,290.021728515625,380.6400146484375,2026-09-22 06:00,12,c00
-0.14299316704273224,-0.04968505725264549,288.29998779296875,275.24798583984375,2026-09-22 06:00,36,c00
-0.3345922827720642,-0.4950317442417145,281.5,109.96800231933594,2026-09-22 06:00,60,c00
1.664157748222351,0.7218407988548279,289.160888671875,354.1600036621094,2026-09-22 06:00,84,c00
3.8204174041748047,0.6236621141433716,289.0,367.135986328125,2026-09-22 06:00,108,c00
2.1586084365844727,1.6995117664337158,290.0831298828125,326.8800048828125,2026-09-22 06:00,132,c00
4.793801307678223,2.8372411727905273,288.44000244140625,326.656005859375,2026-09-22 06:00,156,c00
3.299267530441284,1.0344531536102295,289.601806640625,379.9679870605469,2026-09-22 06:00,12,p01
1.513669490814209,0.40483152866363525,289.8192138671875,287.4079895019531,2026-09-22 06:00,36,p01
-1.8373119831085205,1.1565356254577637,287.1022033691406,217.79200744628906,2026-09-22 06:00,60,p01
1.9459692239761353,0.43890380859375,288.60430908203125,298.9599914550781,2026-09-22 06:00,84,p01
2.9644434452056885,0.4626513719558716,288.2492980957031,357.20001220703125,2026-09-22 06:00,108,p01
1.0786694288253784,0.7218945026397705,291.5417785644531,324.68798828125,2026-09-22 06:00,132,p01
4.412768363952637,-0.4842871129512787,282.6123352050781,215.21600341796875,2026-09-22 06:00,156,p01
2.008364200592041,1.198452115058899,290.76007080078125,381.9679870605469,2026-09-22 06:00,12,p02
1.8584716320037842,0.9856884479522705,289.9831237792969,315.45599365234375,2026-09-22 06:00,36,p02
-2.168276309967041,-0.27202147245407104,282.55474853515625,70.75199890136719,2026-09-22 06:00,60,p02
2.589357852935791,1.0322558879852295,287.06622314453125,298.447998046875,2026-09-22 06:00,84,p02
5.845044136047363,1.907324194908142,287.1246643066406,352.79998779296875,2026-09-22 06:00,108,p02
1.5805883407592773,1.939355492591858,288.20001220703125,286.9599914550781,2026-09-22 06:00,132,p02
2.253603458404541,1.2216747999191284,286.2247314453125,308.89599609375,2026-09-22 06:00,156,p02
2.143913507461548,0.7016626000404358,291.0999755859375,381.00799560546875,2026-09-22 06:00,12,p03
-1.2327489852905273,0.5721337795257568,289.8516845703125,287.3919982910156,2026-09-22 06:00,36,p03
-1.0601025819778442,0.5840137004852295,287.6156921386719,218.6719970703125,2026-09-22 06:00,60,p03
4.628586292266846,-0.1558837890625,285.3830871582031,342.447998046875,2026-09-22 06:00,84,p03
5.446245193481445,1.7246410846710205,286.401123046875,320.78399658203125,2026-09-22 06:00,108,p03
4.028080940246582,2.280580997467041,287.828125,291.1520080566406,2026-09-22 06:00,132,p03
2.8733789920806885,0.4804760813713074,286.35845947265625,370.11199951171875,2026-09-22 06:00,156,p03
2.7282495498657227,1.4177294969558716,290.0045471191406,381.88800048828125,2026-09-22 06:00,12,p04
1.1024658679962158,0.10958495736122131,288.6000061035156,263.760009765625,2026-09-22 06:00,36,p04
