u10,v10,t2m,sdswrf,init_date,horizon,member
-3.148757219314575,-1.0030298233032227,297.3458557128906,543.552001953125,2026-07-16 06:00,12,c00
-3.897407293319702,0.7924389839172363,296.6460266113281,538.5440063476562,2026-07-16 06:00,36,c00
-2.7683324813842773,0.126220703125,299.29998779296875,533.4719848632812,2026-07-16 06:00,60,c00
-2.963698625564575,0.8582788109779358,301.04498291015625,534.0800170898438,2026-07-16 06:00,84,c00
-3.5743677616119385,0.14775878190994263,296.73602294921875,416.0320129394531,2026-07-16 06:00,108,c00
-2.999147891998291,2.043955087661743,298.811279296875,515.52001953125,2026-07-16 06:00,132,c00
1.4802978038787842,-0.5310278534889221,299.5301208496094,465.7120056152344,2026-07-16 06:00,156,c00
-2.631396532058716,-1.3331860303878784,296.0,504.3039855957031,2026-07-16 06:00,12,p01
-3.4341063499450684,0.7218310832977295,295.80218505859375,514.416015625,2026-07-16 06:00,36,p01
-2.4790844917297363,-0.21675048768520355,295.1172180175781,418.76800537109375,2026-07-16 06:00,60,p01
-0.5676293969154358,-1.036953091621399,299.16461181640625,470.6400146484375,2026-07-16 06:00,84,p01
-3.1712305545806885,-1.0818408727645874,299.8247375488281,440.1919860839844,2026-07-16 06:00,108,p01
-3.910881280899048,1.202355980873108,295.84271240234375,520.6240234375,2026-07-16 06:00,132,p01
3.939570426940918,-1.617771029472351,297.8258056640625,475.9360046386719,2026-07-16 06:00,156,p01
-3.296884775161743,-1.0863476991653442,296.79998779296875,547.9359741210938,2026-07-16 06:00,12,p02
-3.426074266433716,0.4266894459724426,294.70001220703125,472.54400634765625,2026-07-16 06:00,36,p02
-3.7322704792022705,0.4650854468345642,297.9026184082031,534.864013671875,2026-07-16 06:00,60,p02
-1.2501122951507568,-0.0036254883743822575,302.79998779296875,532.6079711914062,2026-07-16 06:00,84,p02
-3.978747606277466,0.13388672471046448,298.0045471191406,490.09600830078125,2026-07-16 06:00,108,p02
-0.4746386706829071,0.3795727491378784,299.3439025878906,503.0559997558594,2026-07-16 06:00,132,p02
-3.7046778202056885,0.3359912037849426,290.20001220703125,339.88800048828125,2026-07-16 06:00,156,p02
-3.3663549423217773,-0.47367432713508606,296.4999694824219,510.6239929199219,2026-07-16 06:00,12,p03
-3.516674757003784,0.5246410965919495,297.50433349609375,538.1119995117188,2026-07-16 06:00,36,p03
-2.3669066429138184,-0.4664575159549713,300.0497131347656,531.6160278320312,2026-07-16 06:00,60,p03
-3.8360302448272705,-0.20194335281848907,300.6000061035156,532.5599975585938,2026-07-16 06:00,84,p03
