u10,v10,t2m,sdswrf,init_date,horizon,member
4.874370098114014,2.518857479095459,291.23931884765625,436.1440124511719,2026-09-02 06:00,12,c00
4.603510856628418,2.7322559356689453,291.3711853027344,417.9360046386719,2026-09-02 06:00,36,c00
2.041567325592041,1.624169945716858,294.5,432.54400634765625,2026-09-02 06:00,60,c00
-0.7332959175109863,2.5844359397888184,293.7112731933594,346.97601318359375,2026-09-02 06:00,84,c00
-2.350166082382202,1.9124634265899658,293.89862060546875,235.23199462890625,2026-09-02 06:00,108,c00
4.521035194396973,3.2058985233306885,294.1000061035156,370.68798828125,2026-09-02 06:00,132,c00
3.7459278106689453,1.0663524866104126,291.3999938964844,351.0400085449219,2026-09-02 06:00,156,c00
4.979074478149414,2.74090576171875,291.5831604003906,437.760009765625,2026-09-02 06:00,12,p01
4.747822284698486,2.1410279273986816,291.34600830078125,435.45599365234375,2026-09-02 06:00,36,p01
-0.20930175483226776,1.6085253953933716,294.16400146484375,361.21600341796875,2026-09-02 06:00,60,p01
1.0314770936965942,0.6544238328933716,294.70343017578125,369.1520080566406,2026-09-02 06:00,84,p01
-2.3747143745422363,3.0725977420806885,291.53802490234375,229.82400512695312,2026-09-02 06:00,108,p01
5.033564567565918,2.298388719558716,292.342529296875,329.9840087890625,2026-09-02 06:00,132,p01
2.239609479904175,1.0889403820037842,292.9169616699219,365.7439880371094,2026-09-02 06:00,156,p01
4.993239879608154,2.5285303592681885,291.621337890625,438.7040100097656,2026-09-02 06:00,12,p02
4.008688926696777,1.3547290563583374,291.0472412109375,434.4960021972656,2026-09-02 06:00,36,p02
2.967089891433716,1.0226049423217773,292.73602294921875,381.42401123046875,2026-09-02 06:00,60,p02
0.8644653558731079,2.295114755630493,294.20001220703125,414.2560119628906,2026-09-02 06:00,84,p02
-0.5508056879043579,1.8810327053070068,293.9031982421875,268.8320007324219,2026-09-02 06:00,108,p02
3.053410530090332,0.14357666671276093,287.14385986328125,315.135986328125,2026-09-02 06:00,132,p02
6.745385646820068,1.4226977825164795,288.9744567871094,427.7760009765625,2026-09-02 06:00,156,p02
4.158401012420654,2.017890691757202,291.7318420410156,435.2640075683594,2026-09-02 06:00,12,p03
3.262019157409668,3.0796215534210205,292.06195068359375,436.11199951171875,2026-09-02 06:00,36,p03
2.638437509536743,1.440820336341858,294.7494812011719,433.0719909667969,2026-09-02 06:00,60,p03
-1.244787573814392,0.7544604539871216,293.7381591796875,343.45599365234375,2026-09-02 06:00,84,p03
-2.2065699100494385,1.4747852087020874,294.2522888183594,341.23199462890625,2026-09-02 06:00,108,p03
3.5703516006469727,1.009189486503601,290.9744567871094,404.447998046875,2026-09-02 06:00,132,p03
3.8897533416748047,2.140815496444702,290.2113342285156,311.10400390625,2026-09-02 06:00,156,p03
4.758266448974609,2.4133007526397705,290.669677734375,436.2560119628906,2026-09-02 06:00,12,p04
4.002524375915527,2.1653199195861816,291.2251892089844,434.7359924316406,2026-09-02 06:00,36,p04
0.29328614473342896,0.9319043159484863,295.5045471191406,439.23199462890625,2026-09-02 06:00,60,p04
-1.0093945264816284,0.8582690358161926,293.70001220703125,315.67999267578125,2026-09-02 06:00,84,p04
-2.695082902908325,0.8077441453933716,292.7675476074219,292.8160095214844,2026-09-02 06:00,108,p04
0.653698742389679,0.13456054031848907,294.1280822753906,349.3760070800781,2026-09-02 06:00,132,p04
6.92971658706665,2.4358277320861816,291.20611572265625,392.3999938964844,2026-09-02 06:00,156,p04
6.936977386474609,3.16888427734375,290.20001220703125,414.3039855957031,2026-09-02 06:00,12,p05
5.324152946472168,2.892697811126709,291.3653564453125,428.35198974609375,2026-09-02 06:00,36,p05
2.599047899246216,3.0789966583251953,293.26177978515625,432.9119873046875,2026-09-02 06:00,60,p05
1.3295849561691284,1.6733300685882568,293.29998779296875,419.3280029296875,2026-09-02 06:00,84,p05
-3.0758299827575684,2.3004419803619385,293.0,392.32000732421875,2026-09-02 06:00,108,p05
1.1921337842941284,1.0985522270202637,295.307861328125,393.6960144042969,2026-09-02 06:00,132,p05
-0.95245361328125,0.9449756145477295,293.5594787597656,330.0159912109375,2026-09-02 06:00,156,p05
6.740915298461914,2.7180566787719727,291.9299011230469,431.00799560546875,2026-09-02 06:00,12,p06
5.137089729309082,2.877695322036743,292.51177978515625,428.2879943847656,2026-09-02 06:00,36,p06
4.680578708648682,2.2804296016693115,292.42474365234375,433.1679992675781,2026-09-02 06:00,60,p06
1.0509179830551147,0.35288819670677185,293.8439025878906,375.7919921875,2026-09-02 06:00,84,p06
-0.3258105516433716,1.994626522064209,293.3370361328125,212.1280059814453,2026-09-02 06:00,108,p06
2.7251904010772705,3.2718846797943115,293.70001220703125,373.42401123046875,2026-09-02 06:00,132,p06
4.223930835723877,1.755275845527649,290.8999938964844,389.7120056152344,2026-09-02 06:00,156,p06
4.464404106140137,2.5467529296875,292.0680236816406,434.5920104980469,2026-09-02 06:00,12,p07
4.842721939086914,2.0929126739501953,291.85821533203125,417.9679870605469,2026-09-02 06:00,36,p07
3.3675537109375,2.049921989440918,294.5999755859375,435.9840087890625,2026-09-02 06:00,60,p07
-1.173488736152649,2.2336254119873047,295.23602294921875,381.343994140625,2026-09-02 06:00,84,p07
-0.7931128144264221,1.3086987733840942,295.42279052734375,326.6080017089844,2026-09-02 06:00,108,p07
4.388146877288818,0.8212792873382568,291.906982421875,287.760009765625,2026-09-02 06:00,132,p07
3.3995776176452637,0.8918896317481995,293.3173828125,375.66400146484375,2026-09-02 06:00,156,p07
3.9584107398986816,1.9375756978988647,291.3348083496094,436.6400146484375,2026-09-02 06:00,12,p08
4.522951602935791,2.7957763671875,291.4380187988281,431.3919982910156,2026-09-02 06:00,36,p08
-0.5872973799705505,1.4224047660827637,295.70001220703125,429.00799560546875,2026-09-02 06:00,60,p08
0.2959960997104645,1.846767544746399,294.35064697265625,386.239990234375,2026-09-02 06:00,84,p08
-2.0643553733825684,2.4805638790130615,291.9068908691406,245.72799682617188,2026-09-02 06:00,108,p08
