u10,v10,t2m,sdswrf,init_date,horizon,member
1.8979589939117432,4.084865570068359,293.70001220703125,583.2479858398438,2026-06-30 06:00,12,c00
5.186823844909668,1.30615234375,292.04388427734375,581.6799926757812,2026-06-30 06:00,36,c00
5.667504787445068,1.2041796445846558,293.19891357421875,585.2160034179688,2026-06-30 06:00,60,c00
5.225212574005127,1.6717236042022705,294.52716064453125,558.864013671875,2026-06-30 06:00,84,c00
4.6322021484375,-0.04839843884110451,295.8000793457031,575.072021484375,2026-06-30 06:00,108,c00
-2.400327205657959,0.5973144769668579,299.145751953125,541.6799926757812,2026-06-30 06:00,132,c00
-1.1276659965515137,-0.843457043170929,295.5626220703125,488.2560119628906,2026-06-30 06:00,156,c00
1.5018140077590942,5.239904880523682,293.0157775878906,583.0880126953125,2026-06-30 06:00,12,p01
4.846323013305664,2.795163631439209,292.9548645019531,584.5759887695312,2026-06-30 06:00,36,p01
4.963278770446777,1.3578931093215942,293.48095703125,582.2239990234375,2026-06-30 06:00,60,p01
5.610214710235596,1.6923364400863647,295.7722473144531,579.7119750976562,2026-06-30 06:00,84,p01
3.519228458404541,-0.8198632597923279,296.303466796875,551.2000122070312,2026-06-30 06:00,108,p01
-6.069018363952637,0.3631249964237213,295.6729431152344,571.6640014648438,2026-06-30 06:00,132,p01
-3.144233465194702,0.07170654088258743,295.8999938964844,462.656005859375,2026-06-30 06:00,156,p01
2.120842218399048,3.205185651779175,292.89996337890625,586.9600219726562,2026-06-30 06:00,12,p02
3.7165234088897705,1.906948208808899,292.9587097167969,584.1119995117188,2026-06-30 06:00,36,p02
4.370456695556641,0.8311865329742432,292.5306701660156,585.9840087890625,2026-06-30 06:00,60,p02
4.876357555389404,1.4467333555221558,295.5881042480469,587.2639770507812,2026-06-30 06:00,84,p02
-1.5119335651397705,0.043754883110523224,299.79998779296875,570.5280151367188,2026-06-30 06:00,108,p02
-3.394716739654541,0.24760253727436066,296.16094970703125,534.0479736328125,2026-06-30 06:00,132,p02
-2.4449853897094727,-1.3341894149780273,295.70001220703125,560.6719970703125,2026-06-30 06:00,156,p02
2.9429614543914795,3.6648926734924316,293.61114501953125,584.1599731445312,2026-06-30 06:00,12,p03
4.925092697143555,1.1053271293640137,292.62481689453125,581.4879760742188,2026-06-30 06:00,36,p03
5.549663066864014,1.7069751024246216,295.1448059082031,582.3839721679688,2026-06-30 06:00,60,p03
5.049868106842041,1.3624486923217773,296.3001403808594,579.1199951171875,2026-06-30 06:00,84,p03
4.990683555603027,0.03956298902630806,297.70001220703125,573.823974609375,2026-06-30 06:00,108,p03
-0.6877392530441284,-0.33118653297424316,298.0,533.6959838867188,2026-06-30 06:00,132,p03
1.0136620998382568,-2.3998072147369385,291.9718933105469,404.0639953613281,2026-06-30 06:00,156,p03
2.158764600753784,4.534624099731445,294.5236511230469,583.0560302734375,2026-06-30 06:00,12,p04
4.443466663360596,2.234184503555298,293.6109924316406,583.6799926757812,2026-06-30 06:00,36,p04
3.256335496902466,2.11962890625,294.70452880859375,585.135986328125,2026-06-30 06:00,60,p04
3.613276481628418,1.8629101514816284,295.701904296875,508.9119873046875,2026-06-30 06:00,84,p04
-1.9592725038528442,0.596203625202179,299.828125,519.72802734375,2026-06-30 06:00,108,p04
-4.946645736694336,2.4120800495147705,291.5339050292969,490.7359924316406,2026-06-30 06:00,132,p04
5.454240798950195,-1.683383822441101,295.0,561.823974609375,2026-06-30 06:00,156,p04
3.9053685665130615,3.959904670715332,293.82366943359375,580.3040161132812,2026-06-30 06:00,12,p05
6.032160758972168,1.5130053758621216,292.853759765625,584.68798828125,2026-06-30 06:00,36,p05
6.199316501617432,1.9268237352371216,293.5241394042969,584.5599975585938,2026-06-30 06:00,60,p05
4.366276741027832,0.2010180652141571,294.39996337890625,581.3759765625,2026-06-30 06:00,84,p05
1.7776952981948853,-0.7516894340515137,298.00439453125,575.1199951171875,2026-06-30 06:00,108,p05
-1.4755712747573853,-1.1560156345367432,298.67230224609375,572.0800170898438,2026-06-30 06:00,132,p05
-0.08204101771116257,0.7780712842941284,299.6259765625,493.10400390625,2026-06-30 06:00,156,p05
2.1044812202453613,3.6181201934814453,294.0999755859375,582.656005859375,2026-06-30 06:00,12,p06
4.649533748626709,1.1070947647094727,291.70343017578125,584.68798828125,2026-06-30 06:00,36,p06
6.132317066192627,1.7240062952041626,293.1000061035156,585.3280029296875,2026-06-30 06:00,60,p06
2.344799757003784,1.337705135345459,296.3097839355469,580.1599731445312,2026-06-30 06:00,84,p06
0.9403662085533142,0.45493897795677185,299.751708984375,579.1680297851562,2026-06-30 06:00,108,p06
-2.4867773056030273,1.2352075576782227,296.20440673828125,425.8399963378906,2026-06-30 06:00,132,p06
0.5935205221176147,-0.14412598311901093,297.9021911621094,551.4559936523438,2026-06-30 06:00,156,p06
4.352243423461914,3.1002392768859863,292.5,584.3040161132812,2026-06-30 06:00,12,p07
4.422731876373291,1.2960668802261353,291.18536376953125,585.8079833984375,2026-06-30 06:00,36,p07
4.2140793800354,1.2352709770202637,294.29998779296875,585.9520263671875,2026-06-30 06:00,60,p07
4.782126426696777,1.0664379596710205,294.73931884765625,547.4400024414062,2026-06-30 06:00,84,p07
0.6857641339302063,1.0315356254577637,297.3180236816406,573.2160034179688,2026-06-30 06:00,108,p07
-2.380002498626709,-0.40833497047424316,299.26361083984375,567.7760009765625,2026-06-30 06:00,132,p07
-1.3619335889816284,-1.7965991497039795,297.2275390625,485.9519958496094,2026-06-30 06:00,156,p07
4.863364219665527,4.675788402557373,292.1000061035156,520.3679809570312,2026-06-30 06:00,12,p08
4.428207874298096,2.0064940452575684,293.55389404296875,584.5280151367188,2026-06-30 06:00,36,p08
5.4678635597229,1.375766634941101,293.8783264160156,588.5919799804688,2026-06-30 06:00,60,p08
6.769362926483154,2.152224063873291,294.1012268066406,556.5759887695312,2026-06-30 06:00,84,p08
3.3370752334594727,-1.4162914752960205,294.70001220703125,571.9840087890625,2026-06-30 06:00,108,p08
0.115478515625,0.22303222119808197,298.80572509765625,570.7520141601562,2026-06-30 06:00,132,p08
-1.2941699028015137,-0.38973143696784973,300.48309326171875,529.4400024414062,2026-06-30 06:00,156,p08
1.294252872467041,3.9915771484375,294.0318908691406,579.7119750976562,2026-06-30 06:00,12,p09
4.086506366729736,1.7066235542297363,292.60455322265625,584.6719970703125,2026-06-30 06:00,36,p09
4.154037952423096,0.6491137742996216,292.92791748046875,583.9840087890625,2026-06-30 06:00,60,p09
2.0441722869873047,0.9846289157867432,296.6000061035156,577.0079956054688,2026-06-30 06:00,84,p09
1.2487329244613647,-0.5963281393051147,295.58319091796875,530.4639892578125,2026-06-30 06:00,108,p09
-2.1690454483032227,0.37763917446136475,300.5216369628906,568.6240234375,2026-06-30 06:00,132,p09
1.1570898294448853,-1.112768530845642,299.32891845703125,566.447998046875,2026-06-30 06:00,156,p09
1.1864770650863647,2.817558526992798,294.20556640625,587.9359741210938,2026-06-30 06:00,12,p10
5.38174295425415,1.622890591621399,293.5,581.8400268554688,2026-06-30 06:00,36,p10
5.444953441619873,1.0286962985992432,295.04388427734375,582.1599731445312,2026-06-30 06:00,60,p10
5.351035118103027,1.4410083293914795,296.42578125,577.5679931640625,2026-06-30 06:00,84,p10
-0.7995995879173279,0.9548656940460205,298.65850830078125,494.0159912109375,2026-06-30 06:00,108,p10
